spot_id,name,lat,lon
p001,ハーブワールドAKITA,39.3577502,140.0119945
p002,桑ノ木台湿原,39.173156602983894,140.04664920697988
p003,ボツメキ湧水,39.2344225,140.2383997
p004,滝ケ原湿原,39.1297044,140.067375
p005,八塩山,39.2365862,140.2276806
p006,八塩いこいの森,39.26283893980371,140.24147588555954
p007,善神沼,39.1432753,140.0728129
p008,花立牧場公園,39.20675841110438,140.08719375849444
p009,法体園地キャンプ場,39.1087014,140.1553429
p010,法体の滝,39.108044,140.1583031
p011,由利本荘市文化交流館「カダーレ」,39.38656540868473,140.0539335855631
p012,鳥海山木のおもちゃ館,39.333870749137986,140.06498273314978
p013,そば処ももや,39.188493,140.188924
p014,発光小路田屋,39.39612686470187,140.0507501837101
p015,齋彌酒造店,39.3963378,140.0498247
p016,佐藤酒造店,39.22906294476974,140.13786025301567
p017,鳥海高原矢島スキー場,39.1886506,140.0850745
p018,本荘公園,39.3850197,140.0476784
p019,道の駅岩城,39.5426173,140.0531997
p020,道の駅おおうち,39.4430244,140.0894962
p021,道の駅にしめ,39.3628739,140.0148696
p022,ゆり高原ふれあい農場,39.27968603913225,140.0830957702152
p023,五峰苑のバラ園,39.427274667930604,140.10430050668435
p024,本荘マリーナ海水浴場,39.3984014,140.017986
p025,顕性山妙慶寺,39.49901177702576,140.07792588000606
p026,赤田の大仏,39.4283866,140.1029035
p027,岩舘のイチョウ,39.3168226,140.2587154
p028,ボートプラザアクアパル,39.39256904874436,140.03921261625266
p029,西目海水浴場,39.3460762,139.9987004
p030,修身館,39.38511931431751,140.04766085407303
